"id_keyb","key_name","position","event","input","timestamp","epoch"
"17119","1","Numpad1","keydown","1","2024-01-29 16:12:30:000043","1706555550043"
"17120","3","Numpad3","keydown","1","2024-01-29 16:12:30:000185","1706555550185"
"17121","1","Numpad1","keyup","1","2024-01-29 16:12:30:000234","1706555550234"
"17122","3","Numpad3","keyup","1","2024-01-29 16:12:30:000314","1706555550314"
"17123","0","Numpad0","keydown","2","2024-01-29 16:12:31:000819","1706555551819"
"17124","0","Numpad0","keyup","2","2024-01-29 16:12:32:000091","1706555552091"
"17125","4","Numpad4","keydown","2","2024-01-29 16:12:32:000092","1706555552092"
"17126","4","Numpad4","keyup","2","2024-01-29 16:12:32:000218","1706555552218"
"17127","2","Numpad2","keydown","3","2024-01-29 16:12:34:000130","1706555554130"
"17128","0","Numpad0","keydown","3","2024-01-29 16:12:34:000258","1706555554258"
"17129","2","Numpad2","keyup","3","2024-01-29 16:12:34:000338","1706555554338"
"17130","0","Numpad0","keyup","3","2024-01-29 16:12:34:000410","1706555554410"
"17131","9","Numpad9","keydown","3","2024-01-29 16:12:34:000610","1706555554610"
"17132","8","Numpad8","keydown","3","2024-01-29 16:12:34:000779","1706555554779"
"17133","9","Numpad9","keyup","3","2024-01-29 16:12:34:000801","1706555554801"
"17134","8","Numpad8","keyup","3","2024-01-29 16:12:34:000890","1706555554890"
"17135","9","Numpad9","keydown","4","2024-01-29 16:12:36:000474","1706555556474"
"17136","8","Numpad8","keydown","4","2024-01-29 16:12:36:000586","1706555556586"
"17137","9","Numpad9","keyup","4","2024-01-29 16:12:36:000699","1706555556699"
"17138","8","Numpad8","keyup","4","2024-01-29 16:12:36:000700","1706555556700"
"17139","1","Numpad1","keydown","4","2024-01-29 16:12:36:000858","1706555556858"
"17140","1","Numpad1","keyup","4","2024-01-29 16:12:36:000946","1706555556946"
"17141","Shift","ShiftLeft","keydown","5","2024-01-29 16:12:38:000322","1706555558322"
"17142","G","KeyG","keydown","5","2024-01-29 16:12:38:000578","1706555558578"
"17143","Shift","ShiftLeft","keyup","5","2024-01-29 16:12:38:000666","1706555558666"
"17144","g","KeyG","keyup","5","2024-01-29 16:12:38:000762","1706555558762"
"17145","a","KeyA","keydown","5","2024-01-29 16:12:38:000786","1706555558786"
"17146","b","KeyB","keydown","5","2024-01-29 16:12:38:000923","1706555558923"
"17147","a","KeyA","keyup","5","2024-01-29 16:12:38:000945","1706555558945"
"17148","r","KeyR","keydown","5","2024-01-29 16:12:39:000027","1706555559027"
"17149","b","KeyB","keyup","5","2024-01-29 16:12:39:000099","1706555559099"
"17150","i","KeyI","keydown","5","2024-01-29 16:12:39:000102","1706555559102"
"17151","r","KeyR","keyup","5","2024-01-29 16:12:39:000115","1706555559115"
"17152","i","KeyI","keyup","5","2024-01-29 16:12:39:000260","1706555559260"
"17153","e","KeyE","keydown","5","2024-01-29 16:12:39:000260","1706555559260"
"17154","e","KeyE","keyup","5","2024-01-29 16:12:39:000395","1706555559395"
"17155","l","KeyL","keydown","5","2024-01-29 16:12:39:000396","1706555559396"
"17156","l","KeyL","keyup","5","2024-01-29 16:12:39:000530","1706555559530"
"17157"," ","Space","keydown","5","2024-01-29 16:12:39:000530","1706555559530"
